"","KENYA_30_SAMPLE_POOL_20M","KENYA_30_SAMPLE_POOL_50M","KENYA_30_SAMPLE_POOL","KENYA_POP_POOL_20M","KENYA_POP_POOL_50M","UK_30_SAMPLE_POOL_20M","UK_30_SAMPLE_POOL_50M","UK_30_SAMPLE_POOL","UK_POP_POOL_20M","UK_POP_POOL_50M"
"ARO:3003774",0,0,0,0,0,2.33358943205641,6.20531502695418,22.0040918215786,1.13146630355468,1.8019389549614
"ARO:3003775",14.9708035117855,38.7913015873016,147.16139047619,16.6572,44.1384873015873,130.956230952381,328.568838888889,1166.29787301587,164.338777777778,394.370666666667
"ARO:3003789",0.997765006385696,1.00173272687893,1.20866517741518,0,1.00130459216442,0,0,0,0,0
"ARO:3003790",1.48621869933345,1.40777022524324,2.52722467259856,1.32162118865809,2.06896696176725,0,1.75475786696815,3.25219805240297,1.06200997861725,2.42006048733546
"ARO:3003791",0,0,1.00284679089027,0.900213420686917,1.89659197012138,3.98051630434783,12.0796730072464,36.2476739130435,3.85778804347826,11.7884927536232
"ARO:3003792",0,0,0,1.30871268428324,1.00007458183322,3.38686728404673,7.38308530805687,36.2384360189574,7.22715066075897,14.356990521327
"ARO:3003794",0.498952033855314,0,0.498952033855314,0,0,0,0,0,1.00124153950899,0
"ARO:3003797",0.49911733277057,0.666962099542974,0.887599741525147,0.99832281766632,1.72491931443276,4.46509863429439,12.4562402630248,43.8489074355084,4.58526176024279,14.7666738926223
"ARO:3003801",3.22153265589125,9.71942519131082,34.1907444168735,0.885933622828784,2.38329927214544,1.3906483814142,0.857791997032503,3.59166778379354,1.00056031377571,0.668502215121747
"ARO:3003805",0,0,0,0.962290169797339,1.60262482413464,3.21293939491575,6.91337631110685,23.0855531670465,4.84787630948086,9.69014880870663
"ARO:3003807",44.367987654321,105.619112654321,358.042405864198,29.0401296296296,70.9493148148148,115.779666666667,305.332925925926,1054.88424691358,133.345666666667,340.783175925926
"ARO:3003817",0,0,0,0,0,0,0,1.00452034153692,0,0
"ARO:3003820",24.8888472222222,63.1317638888889,228.278256944444,28.506875,56.36125,103.736430555556,276.593423611111,968.795,111.666430555556,287.504416666667
"ARO:3003838",9.81893004115226,23.9218161865569,95.2192427983539,13.9629355281207,27.4512606310014,78.0912510288066,203.482406035665,712.016419753086,116.414028806584,285.315851851852
"ARO:3003841",9.57227433628319,35.3000560471976,116.831445427729,11.6253716814159,28.0818318584071,18.6032433628319,42.0072477876106,166.281504424779,42.364407079646,104.536224188791
"ARO:3003850",0,0,1.00263781223084,0,0,0,0,0,0,0
"ARO:3003889",28.8996291390728,73.7834172185431,276.671222222222,19.4580132450331,51.2030331125828,69.4946556291391,171.399476085357,615.110637969095,87.3447314201619,212.267970566593
"ARO:3003890",38.4348670977012,102.757448275862,365.597244252874,33.2820689655172,86.4936343390805,38.6834568965517,97.3083232758621,359.48666954023,76.704536637931,184.653533764368
"ARO:3003893",27.5025482233503,79.3374314720812,271.796971235195,27.8376175972927,60.2291708967851,19.5837868020305,46.8763333333333,180.143637901861,64.3535566835871,146.443350253807
"ARO:3003895",3.55010597083365,9.26842477876106,31.6261061946903,1.56294950900199,1.96399192816201,1.00000668900795,2.00361371951769,4.76571502382111,0.999829816201498,0.998927326360955
"ARO:3003896",4.13597106171806,8.95962368418396,27.6321900519673,1.28066667011163,1.97413003203649,1.00105143993523,2.08678759916984,4.2509084257898,0,0
"ARO:3003899",39.4914982638889,99.3459780092593,374.249930555556,36.5726446759259,86.1277760416667,168.055536458333,417.555041087963,1483.71652083333,188.979525462963,478.380072916667
"ARO:3003900",37.1513140890949,90.2097103512089,346.918068315665,33.0407740108451,84.8047589962664,68.6133790688636,168.352422945616,601.91332155477,96.5854940138411,238.677160081165
"ARO:3003902",0,0,0,0,0.666666666666667,0,0,0,0,0
"ARO:3003905",0,0,0,0,0.558680164979378,1.8716922679747,5.9608752832178,15.7106404199475,0.662068770180706,1.2472265064805
