	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3004056_AE004091.2	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000506_AE004091.2	5.0	15.0	61.0	1.0	5.0	3.0	10.0	20.0	1.0	1.0
3003685_AE004091.2	48.0	104.0	473.0	9.0	19.0	8.0	13.0	47.0	0.0	2.0
3003929_AE004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003930_AE004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003928_AE004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000318_AE005174.2	21.0	31.0	164.0	11.0	35.0	21.0	57.0	218.0	47.0	86.0
3000025_AE005672.3	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
3000024_AE005672.3	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3003311_AE005672	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003940_AE005674.2	104.0	258.0	912.0	100.0	249.0	572.0	1427.0	5183.0	579.0	1429.0
3002571_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000504_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000826_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003939_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003317_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000791_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000790_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000789_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003307_AE006468.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3003383_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003512_AE006468	85.0	209.0	763.0	79.0	195.0	282.0	748.0	2644.0	275.0	755.0
3000822_AE007317.1	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000614_AE007317.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003774_AE009948.1	0.0	0.0	0.0	0.0	0.0	29.0	84.0	309.0	14.0	26.0
3003387_AE009949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003369_AE014075.1	109.0	286.0	945.0	125.0	296.0	673.0	1540.0	5625.0	693.0	1805.0
3003772_AE014292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002865_AE015929.1	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	1.0	2.0
3003797_AE016830.1	1.0	2.0	5.0	2.0	10.0	60.0	167.0	590.0	61.0	188.0
3003792_AE016830.1	0.0	0.0	0.0	3.0	2.0	11.0	33.0	159.0	31.0	65.0
3003791_AE016830.1	0.0	0.0	1.0	5.0	5.0	30.0	91.0	273.0	29.0	88.0
3003077_AE016830.1	1.0	0.0	1.0	2.0	3.0	9.0	45.0	129.0	19.0	36.0
3004254_AE016830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000172_AE016877.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004466_AERH01000018.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002846_AF001493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002702_AF015087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002842_AF015628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001308_AF015628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002637_AF016483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002660_AF024602	617.0	1457.0	5466.0	452.0	1127.0	221.0	581.0	2026.0	618.0	1483.0
3002703_AF024666	1.0	0.0	4.0	9.0	14.0	4.0	14.0	38.0	12.0	31.0
